Time | N/A | N/A | N/A | N/A | N/A | N/A | _Vind,_kias | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | elev,stick | ailrn,stick | ruddr,stick | N/A | N/A | N/A | N/A | N/A | N/A | ___Q,rad/s | ___P,rad/s | ___R,rad/s | N/A | N/A | N/A | N/A | N/A | N/A | pitch,__deg | _roll,__deg | N/A | hding,__mag | N/A | N/A | N/A | N/A | N/A | N/A | _beta,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | __alt,ftmsl | N/A | N/A | N/A | N/A | N/A | N/A | thro1,_part | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | trq_1,ftlb | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | rpm_1,_prop | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | ptch1,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N1__1,_pcnt | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N2__1,_pcnt | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | ITT_1,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | v-spd,__fpm | N/A | N/A | N/A | N/A | N/A | N/A |
602.250 | 0.000 | -999.000 | 20.547 | 12.547 | 197.304 | 0.000 | 148.866 | 151.800 | 178.128 | 166.563 | -999.000 | 171.312 | 204.986 | 204.986 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.005 | -0.009 | 0.022 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.714 | 11.636 | 299.425 | 284.082 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.982 | -1.444 | 298.584 | -20.760 | -999.000 | -999.000 | -999.000 | 0.250 | 0.000 | 47.450 | -122.323 | 10,534.620 | 10,255.160 | 1.000 | 10,639.590 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,810.958 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.259 | 2,455.576 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.712 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.442 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.916 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 692.234 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.563 | -6,393.840 | -999.000 | -1,064,974.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
602.401 | 0.000 | -999.000 | 20.547 | 12.547 | 197.304 | 0.000 | 148.950 | 151.877 | 178.174 | 166.619 | -999.000 | 171.409 | 205.039 | 205.039 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.005 | -0.008 | 0.021 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.709 | 11.529 | 299.618 | 284.276 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.975 | -1.438 | 298.794 | -20.748 | -999.000 | -999.000 | -999.000 | 0.266 | 0.000 | 47.450 | -122.323 | 10,518.560 | 10,246.210 | 1.000 | 10,623.480 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,819.096 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.230 | 2,455.399 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.716 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.454 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.909 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 692.464 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.619 | -6,392.075 | -999.000 | -1,065,038.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
602.551 | 0.000 | -999.000 | 20.547 | 12.547 | 197.304 | 0.000 | 149.034 | 151.953 | 178.218 | 166.675 | -999.000 | 171.505 | 205.090 | 205.090 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.005 | -0.008 | 0.021 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.703 | 11.424 | 299.809 | 284.466 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.966 | -1.433 | 299.003 | -20.734 | -999.000 | -999.000 | -999.000 | 0.282 | 0.000 | 47.450 | -122.323 | 10,502.500 | 10,237.310 | 1.000 | 10,607.390 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,828.948 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.217 | 2,455.318 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.717 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.470 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.906 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 692.707 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.675 | -6,389.594 | -999.000 | -1,064,988.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
602.702 | 0.000 | -999.000 | 20.547 | 12.547 | 197.304 | 0.000 | 149.117 | 152.030 | 178.263 | 166.730 | -999.000 | 171.600 | 205.141 | 205.141 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.005 | -0.008 | 0.021 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.697 | 11.320 | 299.995 | 284.652 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.960 | -1.431 | 299.209 | -20.723 | -999.000 | -999.000 | -999.000 | 0.298 | 0.000 | 47.450 | -122.323 | 10,486.450 | 10,228.360 | 1.000 | 10,591.300 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,838.628 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.197 | 2,455.196 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.716 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.485 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.901 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 692.947 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.730 | -6,387.895 | -999.000 | -1,065,050.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
602.853 | 0.000 | -999.000 | 20.547 | 12.547 | 197.304 | 0.000 | 149.199 | 152.105 | 178.306 | 166.785 | -999.000 | 171.695 | 205.191 | 205.191 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.005 | -0.009 | 0.020 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.692 | 11.215 | 300.178 | 284.835 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.950 | -1.430 | 299.415 | -20.709 | -999.000 | -999.000 | -999.000 | 0.312 | 0.000 | 47.450 | -122.323 | 10,470.400 | 10,217.600 | 1.000 | 10,575.210 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,848.226 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.196 | 2,455.191 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.715 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.500 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.899 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 693.188 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.785 | -6,385.388 | -999.000 | -1,064,985.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
602.953 | 0.000 | -999.000 | 20.547 | 12.547 | 197.304 | 0.000 | 149.253 | 152.155 | 178.334 | 166.821 | -999.000 | 171.758 | 205.223 | 205.223 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.004 | -0.009 | 0.020 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.689 | 11.146 | 300.299 | 284.956 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.944 | -1.429 | 299.550 | -20.701 | -999.000 | -999.000 | -999.000 | 0.322 | 0.000 | 47.450 | -122.323 | 10,459.710 | 10,211.030 | 1.000 | 10,564.500 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,853.174 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.193 | 2,455.173 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.715 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.508 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.900 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 693.340 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.821 | -6,383.885 | -999.000 | -1,064,964.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
603.104 | 0.000 | -999.000 | 20.548 | 12.548 | 197.304 | 0.000 | 149.334 | 152.229 | 178.376 | 166.874 | -999.000 | 171.851 | 205.272 | 205.272 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.005 | -0.009 | 0.020 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.684 | 11.041 | 300.479 | 285.137 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.935 | -1.427 | 299.752 | -20.688 | -999.000 | -999.000 | -999.000 | 0.336 | 0.000 | 47.450 | -122.324 | 10,443.670 | 10,201.200 | 1.000 | 10,548.420 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,859.772 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.180 | 2,455.093 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.715 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.516 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.896 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 693.554 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.874 | -6,381.674 | -999.000 | -1,064,934.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
603.255 | 0.000 | -999.000 | 20.548 | 12.548 | 197.304 | 0.000 | 149.415 | 152.304 | 178.418 | 166.926 | -999.000 | 171.944 | 205.320 | 205.320 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.004 | -0.009 | 0.020 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.679 | 10.937 | 300.658 | 285.315 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.927 | -1.425 | 299.952 | -20.676 | -999.000 | -999.000 | -999.000 | 0.349 | 0.000 | 47.451 | -122.324 | 10,427.640 | 10,177.430 | 1.000 | 10,532.350 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,867.012 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.160 | 2,454.969 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.716 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.525 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.892 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 693.768 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.926 | -6,379.665 | -999.000 | -1,064,932.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
603.406 | 0.000 | -999.000 | 20.548 | 12.548 | 197.304 | 0.000 | 149.495 | 152.377 | 178.459 | 166.978 | -999.000 | 172.036 | 205.367 | 205.367 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.004 | -0.008 | 0.020 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.673 | 10.834 | 300.835 | 285.493 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.919 | -1.424 | 300.150 | -20.664 | -999.000 | -999.000 | -999.000 | 0.362 | 0.000 | 47.451 | -122.324 | 10,411.620 | 10,162.340 | 1.000 | 10,516.290 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,875.770 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.140 | 2,454.848 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.716 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.538 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.887 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 693.987 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 166.978 | -6,377.575 | -999.000 | -1,064,914.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
603.556 | 0.000 | -999.000 | 20.548 | 12.548 | 197.304 | 0.000 | 149.574 | 152.451 | 178.500 | 167.028 | -999.000 | 172.127 | 205.414 | 205.414 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.004 | -0.008 | 0.020 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -9.668 | 10.731 | 301.011 | 285.668 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 10.913 | -1.422 | 300.346 | -20.654 | -999.000 | -999.000 | -999.000 | 0.374 | 0.000 | 47.451 | -122.324 | 10,395.590 | 10,147.270 | 1.000 | 10,500.240 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 5,885.099 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.121 | 2,454.732 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.716 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.553 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.883 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 694.210 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 167.028 | -6,375.939 | -999.000 | -1,064,958.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
